Herrera,Ander,Paris S-G
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,89
NON_PEN_XG,0.07,58
TOTAL_SHOTS,0.87,44
ASSISTS,0.16,85
XA,0.13,87
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,2.42,75
PASSES_ATTEMPTED,80.25,96
PASS_COMPLETION_PERCENTAGE,90.8,96
PROGRESSIVE_PASSES,5.59,85
PROGRESSIVE CARRIES,5.00,75
DRIBBLES_COMPLETED,0.56,29
TOUCHES_IN_AREA,1.19,56
PROGRESSIVE_PASSES_RECIEVED,2.70,76
PRESSURES,19.86,68
TACKLES,2.54,67
INTERCEPTIONS,1.78,66
BLOCKS,2.02,85
CLEARANCES,1.67,61
AERIAL_DUELS_WON,0.36,5
