Torres,Óliver,Sevilla
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,57
NON_PEN_XG,0.05,37
TOTAL_SHOTS,0.75,37
ASSISTS,0.25,97
XA,0.09,67
NON_PEN_XG+XA,0.14,56
SHOT_CREATIONS,3.13,92
PASSES_ATTEMPTED,61.57,77
PASS_COMPLETION_PERCENTAGE,83.9,52
PROGRESSIVE_PASSES,4.32,60
PROGRESSIVE CARRIES,6.45,90
DRIBBLES_COMPLETED,1.94,97
TOUCHES_IN_AREA,1.82,80
PROGRESSIVE_PASSES_RECIEVED,4.95,94
PRESSURES,21.36,79
TACKLES,2.51,64
INTERCEPTIONS,1.19,22
BLOCKS,1.88,77
CLEARANCES,0.38,1
AERIAL_DUELS_WON,0.25,2
