Pozo Pozo,Alejandro,Sevilla
AM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.51,41
ASSISTS,0.00,8
XA,0.03,12
NON_PEN_XG+XA,0.05,8
SHOT_CREATIONS,1.07,14
PASSES_ATTEMPTED,48.32,29
PASS_COMPLETION_PERCENTAGE,73.1,21
PROGRESSIVE_PASSES,3.09,31
PROGRESSIVE CARRIES,4.22,41
DRIBBLES_COMPLETED,0.56,31
TOUCHES_IN_AREA,0.51,7
PROGRESSIVE_PASSES_RECIEVED,1.24,19
PRESSURES,11.64,35
TACKLES,1.74,31
INTERCEPTIONS,1.29,25
BLOCKS,1.80,45
CLEARANCES,1.91,29
AERIAL_DUELS_WON,0.39,5
