En-Nesyri,Youssef,Sevilla
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.62,92
NON_PEN_XG,0.57,93
TOTAL_SHOTS,2.94,76
ASSISTS,0.04,14
XA,0.10,36
NON_PEN_XG+XA,0.67,86
SHOT_CREATIONS,1.51,11
PASSES_ATTEMPTED,14.99,2
PASS_COMPLETION_PERCENTAGE,69.9,33
PROGRESSIVE_PASSES,0.62,4
PROGRESSIVE CARRIES,1.58,13
DRIBBLES_COMPLETED,0.48,11
TOUCHES_IN_AREA,5.51,65
PROGRESSIVE_PASSES_RECIEVED,5.51,15
PRESSURES,14.96,54
TACKLES,0.77,58
INTERCEPTIONS,0.37,46
BLOCKS,0.70,40
CLEARANCES,1.07,86
AERIAL_DUELS_WON,3.49,80
