Acuña,Marcos,Sevilla
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.05,67
TOTAL_SHOTS,0.54,47
ASSISTS,0.14,78
XA,0.13,81
NON_PEN_XG+XA,0.18,80
SHOT_CREATIONS,2.87,92
PASSES_ATTEMPTED,73.51,95
PASS_COMPLETION_PERCENTAGE,79.2,63
PROGRESSIVE_PASSES,5.23,89
PROGRESSIVE CARRIES,5.97,78
DRIBBLES_COMPLETED,1.48,86
TOUCHES_IN_AREA,0.94,28
PROGRESSIVE_PASSES_RECIEVED,2.36,63
PRESSURES,12.48,48
TACKLES,2.53,76
INTERCEPTIONS,1.54,45
BLOCKS,1.31,8
CLEARANCES,1.36,9
AERIAL_DUELS_WON,0.91,32
