Augustinsson,Ludwig,Sevilla
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.51,41
ASSISTS,0.11,67
XA,0.11,76
NON_PEN_XG+XA,0.14,65
SHOT_CREATIONS,2.69,89
PASSES_ATTEMPTED,58.09,73
PASS_COMPLETION_PERCENTAGE,72.3,16
PROGRESSIVE_PASSES,3.09,31
PROGRESSIVE CARRIES,3.14,15
DRIBBLES_COMPLETED,0.17,3
TOUCHES_IN_AREA,1.37,51
PROGRESSIVE_PASSES_RECIEVED,2.34,62
PRESSURES,13.09,55
TACKLES,2.17,59
INTERCEPTIONS,1.20,20
BLOCKS,2.46,89
CLEARANCES,3.32,88
AERIAL_DUELS_WON,2.46,95
