Koundé,Jules,Sevilla
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,33
NON_PEN_XG,0.05,51
TOTAL_SHOTS,0.61,72
ASSISTS,0.02,57
XA,0.04,89
NON_PEN_XG+XA,0.08,76
SHOT_CREATIONS,0.98,90
PASSES_ATTEMPTED,71.50,92
PASS_COMPLETION_PERCENTAGE,90.5,83
PROGRESSIVE_PASSES,4.02,86
PROGRESSIVE CARRIES,5.43,95
DRIBBLES_COMPLETED,0.87,99
TOUCHES_IN_AREA,1.52,95
PROGRESSIVE_PASSES_RECIEVED,0.67,95
PRESSURES,7.06,22
TACKLES,0.93,10
INTERCEPTIONS,1.87,63
BLOCKS,1.26,12
CLEARANCES,4.04,23
AERIAL_DUELS_WON,3.52,84
