"b'Dmitrovic, Marko'",Sevilla
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.16,22
GOALS_CONCEDED,1.77,14
SAVE_PERCENTAGE,57.6,3
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.39,98
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,16.7,20
TOUCHES,32.03,22
LAUNCH_PERCENTAGE,63.3,94
GOAL_KICKS,6.55,22
AVG_GOAL_KICK_DISTANCE,69.3,99
CROSSES_STOPPED_PERCENTAGE,9.4,82
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.35,95
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,17.9,97
