Mir,Rafa,Sevilla
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,55
NON_PEN_XG,0.40,68
TOTAL_SHOTS,3.54,91
ASSISTS,0.03,11
XA,0.02,1
NON_PEN_XG+XA,0.42,36
SHOT_CREATIONS,1.06,2
PASSES_ATTEMPTED,15.27,4
PASS_COMPLETION_PERCENTAGE,60.8,4
PROGRESSIVE_PASSES,0.81,10
PROGRESSIVE CARRIES,1.59,13
DRIBBLES_COMPLETED,0.61,20
TOUCHES_IN_AREA,4.74,36
PROGRESSIVE_PASSES_RECIEVED,4.71,4
PRESSURES,12.18,28
TACKLES,0.36,13
INTERCEPTIONS,0.33,39
BLOCKS,0.56,23
CLEARANCES,0.78,64
AERIAL_DUELS_WON,4.07,88
