Navas,Jesús,Sevilla
AM,RB,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,39
TOTAL_SHOTS,0.52,42
ASSISTS,0.14,75
XA,0.21,95
NON_PEN_XG+XA,0.24,89
SHOT_CREATIONS,2.77,91
PASSES_ATTEMPTED,67.60,89
PASS_COMPLETION_PERCENTAGE,80.7,70
PROGRESSIVE_PASSES,4.45,76
PROGRESSIVE CARRIES,6.90,88
DRIBBLES_COMPLETED,0.46,20
TOUCHES_IN_AREA,1.52,59
PROGRESSIVE_PASSES_RECIEVED,3.58,89
PRESSURES,5.54,1
TACKLES,0.90,2
INTERCEPTIONS,1.33,28
BLOCKS,1.39,13
CLEARANCES,2.15,39
AERIAL_DUELS_WON,0.84,29
