Bounou,Yassine,Sevilla
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.01,59
GOALS_CONCEDED,0.85,93
SAVE_PERCENTAGE,75.9,91
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.24,4
PENALTY_SAVE_PERCENTAGE,33.3,83
CLEAN_SHEET_PERCENTAGE,46.8,95
TOUCHES,35.30,47
LAUNCH_PERCENTAGE,35.5,29
GOAL_KICKS,6.19,17
AVG_GOAL_KICK_DISTANCE,44.9,45
CROSSES_STOPPED_PERCENTAGE,10.9,95
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.83,74
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.7,84
