Hack,Alexander,Mainz 05
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,97
NON_PEN_XG,0.04,39
TOTAL_SHOTS,0.78,85
ASSISTS,0.00,28
XA,0.03,85
NON_PEN_XG+XA,0.07,64
SHOT_CREATIONS,0.53,50
PASSES_ATTEMPTED,42.04,17
PASS_COMPLETION_PERCENTAGE,77.0,5
PROGRESSIVE_PASSES,3.06,64
PROGRESSIVE CARRIES,1.31,16
DRIBBLES_COMPLETED,0.29,69
TOUCHES_IN_AREA,1.16,82
PROGRESSIVE_PASSES_RECIEVED,0.34,84
PRESSURES,10.43,70
TACKLES,2.72,98
INTERCEPTIONS,2.28,85
BLOCKS,1.55,40
CLEARANCES,7.08,92
AERIAL_DUELS_WON,3.98,93
