Niakhate,Moussa,Mainz 05
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,83
NON_PEN_XG,0.09,91
TOTAL_SHOTS,0.37,28
ASSISTS,0.03,65
XA,0.06,97
NON_PEN_XG+XA,0.14,97
SHOT_CREATIONS,1.54,99
PASSES_ATTEMPTED,49.75,41
PASS_COMPLETION_PERCENTAGE,72.5,1
PROGRESSIVE_PASSES,3.84,83
PROGRESSIVE CARRIES,2.83,56
DRIBBLES_COMPLETED,0.52,90
TOUCHES_IN_AREA,0.83,55
PROGRESSIVE_PASSES_RECIEVED,0.46,90
PRESSURES,11.56,81
TACKLES,1.91,74
INTERCEPTIONS,1.75,53
BLOCKS,1.78,63
CLEARANCES,3.78,14
AERIAL_DUELS_WON,2.49,47
