Brosinski,Daniel,Mainz 05
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,33
TOTAL_SHOTS,0.35,21
ASSISTS,0.12,67
XA,0.16,89
NON_PEN_XG+XA,0.18,81
SHOT_CREATIONS,3.12,95
PASSES_ATTEMPTED,54.53,60
PASS_COMPLETION_PERCENTAGE,60.8,1
PROGRESSIVE_PASSES,5.20,89
PROGRESSIVE CARRIES,3.93,33
DRIBBLES_COMPLETED,0.35,10
TOUCHES_IN_AREA,0.58,11
PROGRESSIVE_PASSES_RECIEVED,2.43,65
PRESSURES,8.78,7
TACKLES,1.04,4
INTERCEPTIONS,1.50,41
BLOCKS,2.31,84
CLEARANCES,2.31,47
AERIAL_DUELS_WON,0.81,26
