Widmer,Silvan,Mainz 05
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,88
NON_PEN_XG,0.04,61
TOTAL_SHOTS,0.70,64
ASSISTS,0.19,88
XA,0.14,83
NON_PEN_XG+XA,0.19,81
SHOT_CREATIONS,1.72,54
PASSES_ATTEMPTED,44.33,15
PASS_COMPLETION_PERCENTAGE,71.6,12
PROGRESSIVE_PASSES,3.75,56
PROGRESSIVE CARRIES,3.12,15
DRIBBLES_COMPLETED,0.32,8
TOUCHES_IN_AREA,1.59,62
PROGRESSIVE_PASSES_RECIEVED,1.27,21
PRESSURES,15.14,78
TACKLES,2.74,82
INTERCEPTIONS,1.46,38
BLOCKS,2.54,91
CLEARANCES,1.97,32
AERIAL_DUELS_WON,1.46,69
