Kohr,Dominik,Mainz 05
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,43
NON_PEN_XG,0.07,64
TOTAL_SHOTS,1.10,65
ASSISTS,0.09,63
XA,0.09,67
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,1.67,44
PASSES_ATTEMPTED,41.26,23
PASS_COMPLETION_PERCENTAGE,75.4,7
PROGRESSIVE_PASSES,4.27,60
PROGRESSIVE CARRIES,2.68,23
DRIBBLES_COMPLETED,0.26,3
TOUCHES_IN_AREA,1.50,70
PROGRESSIVE_PASSES_RECIEVED,2.07,65
PRESSURES,20.06,69
TACKLES,2.86,82
INTERCEPTIONS,2.16,88
BLOCKS,1.98,82
CLEARANCES,2.38,90
AERIAL_DUELS_WON,2.11,86
