Jae-sung,Lee,Mainz 05
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,96
NON_PEN_XG,0.20,97
TOTAL_SHOTS,1.39,81
ASSISTS,0.23,95
XA,0.13,86
NON_PEN_XG+XA,0.33,95
SHOT_CREATIONS,2.67,83
PASSES_ATTEMPTED,42.50,27
PASS_COMPLETION_PERCENTAGE,74.0,5
PROGRESSIVE_PASSES,3.37,39
PROGRESSIVE CARRIES,2.67,23
DRIBBLES_COMPLETED,0.46,21
TOUCHES_IN_AREA,2.79,93
PROGRESSIVE_PASSES_RECIEVED,6.04,99
PRESSURES,18.35,48
TACKLES,2.09,43
INTERCEPTIONS,1.97,78
BLOCKS,2.09,87
CLEARANCES,1.05,26
AERIAL_DUELS_WON,2.44,90
