Martín,Aarón,Mainz 05
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,23
TOTAL_SHOTS,0.56,49
ASSISTS,0.14,77
XA,0.10,69
NON_PEN_XG+XA,0.12,51
SHOT_CREATIONS,1.47,41
PASSES_ATTEMPTED,50.06,39
PASS_COMPLETION_PERCENTAGE,77.0,46
PROGRESSIVE_PASSES,2.77,18
PROGRESSIVE CARRIES,3.96,34
DRIBBLES_COMPLETED,0.91,59
TOUCHES_IN_AREA,0.91,26
PROGRESSIVE_PASSES_RECIEVED,1.82,37
PRESSURES,12.64,50
TACKLES,2.21,60
INTERCEPTIONS,1.16,15
BLOCKS,1.51,22
CLEARANCES,2.49,55
AERIAL_DUELS_WON,0.77,25
