Stach,Anton,Mainz 05
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.05,42
TOTAL_SHOTS,1.61,89
ASSISTS,0.36,99
XA,0.09,67
NON_PEN_XG+XA,0.13,46
SHOT_CREATIONS,1.25,20
PASSES_ATTEMPTED,49.03,46
PASS_COMPLETION_PERCENTAGE,74.5,6
PROGRESSIVE_PASSES,4.83,72
PROGRESSIVE CARRIES,4.12,55
DRIBBLES_COMPLETED,1.07,72
TOUCHES_IN_AREA,1.61,74
PROGRESSIVE_PASSES_RECIEVED,1.61,48
PRESSURES,23.08,88
TACKLES,1.97,37
INTERCEPTIONS,4.47,99
BLOCKS,2.51,98
CLEARANCES,2.15,86
AERIAL_DUELS_WON,4.47,99
