Ingvartsen,Marcus,Mainz 05
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,94
NON_PEN_XG,0.17,94
TOTAL_SHOTS,1.70,91
ASSISTS,0.15,83
XA,0.09,69
NON_PEN_XG+XA,0.26,87
SHOT_CREATIONS,1.41,31
PASSES_ATTEMPTED,30.08,3
PASS_COMPLETION_PERCENTAGE,70.1,1
PROGRESSIVE_PASSES,2.00,4
PROGRESSIVE CARRIES,2.53,20
DRIBBLES_COMPLETED,0.68,42
TOUCHES_IN_AREA,2.73,92
PROGRESSIVE_PASSES_RECIEVED,4.87,93
PRESSURES,19.71,65
TACKLES,1.22,5
INTERCEPTIONS,1.31,28
BLOCKS,1.41,38
CLEARANCES,0.68,9
AERIAL_DUELS_WON,2.09,85
