Zentner,Robin,Mainz 05
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.01,53
GOALS_CONCEDED,1.06,82
SAVE_PERCENTAGE,72.7,77
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,30
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,28.6,61
TOUCHES,35.06,44
LAUNCH_PERCENTAGE,44.2,51
GOAL_KICKS,7.77,59
AVG_GOAL_KICK_DISTANCE,45.0,46
CROSSES_STOPPED_PERCENTAGE,9.0,79
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.71,63
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.0,69
