Barreiro Martins,Leandro,Mainz 05
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,59
NON_PEN_XG,0.13,86
TOTAL_SHOTS,1.46,84
ASSISTS,0.10,67
XA,0.08,58
NON_PEN_XG+XA,0.21,82
SHOT_CREATIONS,1.66,43
PASSES_ATTEMPTED,25.76,2
PASS_COMPLETION_PERCENTAGE,66.3,1
PROGRESSIVE_PASSES,1.89,3
PROGRESSIVE CARRIES,1.63,4
DRIBBLES_COMPLETED,0.16,1
TOUCHES_IN_AREA,2.34,88
PROGRESSIVE_PASSES_RECIEVED,2.89,80
PRESSURES,23.19,89
TACKLES,2.93,83
INTERCEPTIONS,2.05,81
BLOCKS,1.98,82
CLEARANCES,2.11,85
AERIAL_DUELS_WON,1.79,74
