St. Juste,Jerry,Mainz 05
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.07,84
TOTAL_SHOTS,0.77,84
ASSISTS,0.04,73
XA,0.01,32
NON_PEN_XG+XA,0.08,75
SHOT_CREATIONS,0.81,81
PASSES_ATTEMPTED,38.08,11
PASS_COMPLETION_PERCENTAGE,78.9,7
PROGRESSIVE_PASSES,2.83,58
PROGRESSIVE CARRIES,1.86,31
DRIBBLES_COMPLETED,0.69,96
TOUCHES_IN_AREA,0.89,61
PROGRESSIVE_PASSES_RECIEVED,0.16,53
PRESSURES,12.34,88
TACKLES,2.31,89
INTERCEPTIONS,2.27,85
BLOCKS,1.66,52
CLEARANCES,4.90,48
AERIAL_DUELS_WON,2.79,60
