Stöger,Kevin,Mainz 05
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.50,99
NON_PEN_XG,0.27,99
TOTAL_SHOTS,1.84,94
ASSISTS,0.00,11
XA,0.18,95
NON_PEN_XG+XA,0.45,99
SHOT_CREATIONS,3.52,97
PASSES_ATTEMPTED,66.87,86
PASS_COMPLETION_PERCENTAGE,69.7,1
PROGRESSIVE_PASSES,6.54,93
PROGRESSIVE CARRIES,8.04,96
DRIBBLES_COMPLETED,0.84,56
TOUCHES_IN_AREA,2.85,95
PROGRESSIVE_PASSES_RECIEVED,7.04,99
PRESSURES,16.93,34
TACKLES,2.85,81
INTERCEPTIONS,1.84,69
BLOCKS,2.01,84
CLEARANCES,1.01,23
AERIAL_DUELS_WON,0.50,10
