Rashica,Milot,Norwich City
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,13
NON_PEN_XG,0.20,49
TOTAL_SHOTS,2.40,70
ASSISTS,0.14,30
XA,0.10,10
NON_PEN_XG+XA,0.30,26
SHOT_CREATIONS,2.67,24
PASSES_ATTEMPTED,28.07,9
PASS_COMPLETION_PERCENTAGE,66.7,8
PROGRESSIVE_PASSES,1.58,3
PROGRESSIVE CARRIES,5.42,37
DRIBBLES_COMPLETED,1.99,65
TOUCHES_IN_AREA,3.25,32
PROGRESSIVE_PASSES_RECIEVED,7.14,66
PRESSURES,14.47,34
TACKLES,1.13,33
INTERCEPTIONS,0.86,48
BLOCKS,1.04,34
CLEARANCES,0.45,40
AERIAL_DUELS_WON,0.81,65
