Gibson,Ben,Norwich City
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.09,92
TOTAL_SHOTS,0.47,47
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.09,79
SHOT_CREATIONS,0.31,14
PASSES_ATTEMPTED,57.43,62
PASS_COMPLETION_PERCENTAGE,86.0,43
PROGRESSIVE_PASSES,4.17,89
PROGRESSIVE CARRIES,3.93,79
DRIBBLES_COMPLETED,0.08,14
TOUCHES_IN_AREA,1.10,79
PROGRESSIVE_PASSES_RECIEVED,0.08,26
PRESSURES,5.35,4
TACKLES,0.79,5
INTERCEPTIONS,1.81,60
BLOCKS,2.28,93
CLEARANCES,6.37,85
AERIAL_DUELS_WON,2.91,64
