Rupp,Lukas,Norwich City
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.11,81
TOTAL_SHOTS,2.08,97
ASSISTS,0.00,11
XA,0.21,97
NON_PEN_XG+XA,0.32,95
SHOT_CREATIONS,3.58,97
PASSES_ATTEMPTED,50.00,48
PASS_COMPLETION_PERCENTAGE,85.3,61
PROGRESSIVE_PASSES,2.64,15
PROGRESSIVE CARRIES,5.28,79
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,2.26,87
PROGRESSIVE_PASSES_RECIEVED,3.02,84
PRESSURES,19.81,66
TACKLES,1.70,23
INTERCEPTIONS,2.83,97
BLOCKS,1.32,29
CLEARANCES,0.57,6
AERIAL_DUELS_WON,0.75,29
