Normann,Mathias,Norwich City
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,83
NON_PEN_XG,0.09,73
TOTAL_SHOTS,2.05,97
ASSISTS,0.13,78
XA,0.05,36
NON_PEN_XG+XA,0.14,52
SHOT_CREATIONS,2.82,86
PASSES_ATTEMPTED,41.22,23
PASS_COMPLETION_PERCENTAGE,65.5,1
PROGRESSIVE_PASSES,3.84,50
PROGRESSIVE CARRIES,3.07,31
DRIBBLES_COMPLETED,1.79,95
TOUCHES_IN_AREA,0.13,1
PROGRESSIVE_PASSES_RECIEVED,0.00,1
PRESSURES,14.72,18
TACKLES,2.30,55
INTERCEPTIONS,1.15,21
BLOCKS,1.66,60
CLEARANCES,2.56,93
AERIAL_DUELS_WON,1.92,79
