Sargent,Josh,Norwich City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,6
NON_PEN_XG,0.18,7
TOTAL_SHOTS,1.57,5
ASSISTS,0.00,5
XA,0.12,48
NON_PEN_XG+XA,0.30,8
SHOT_CREATIONS,1.95,34
PASSES_ATTEMPTED,22.71,45
PASS_COMPLETION_PERCENTAGE,76.1,72
PROGRESSIVE_PASSES,1.46,50
PROGRESSIVE CARRIES,2.17,34
DRIBBLES_COMPLETED,1.01,54
TOUCHES_IN_AREA,3.63,7
PROGRESSIVE_PASSES_RECIEVED,5.77,16
PRESSURES,19.82,89
TACKLES,1.50,97
INTERCEPTIONS,1.09,99
BLOCKS,1.87,98
CLEARANCES,1.50,97
AERIAL_DUELS_WON,2.21,63
