Lees-Melou,Pierre,Norwich City
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,44
NON_PEN_XG,0.11,81
TOTAL_SHOTS,1.70,91
ASSISTS,0.05,38
XA,0.08,59
NON_PEN_XG+XA,0.18,74
SHOT_CREATIONS,2.58,81
PASSES_ATTEMPTED,46.54,37
PASS_COMPLETION_PERCENTAGE,82.5,42
PROGRESSIVE_PASSES,4.87,72
PROGRESSIVE CARRIES,3.40,41
DRIBBLES_COMPLETED,0.64,38
TOUCHES_IN_AREA,1.70,77
PROGRESSIVE_PASSES_RECIEVED,2.67,75
PRESSURES,25.98,97
TACKLES,3.82,97
INTERCEPTIONS,1.75,63
BLOCKS,2.71,99
CLEARANCES,1.33,42
AERIAL_DUELS_WON,0.64,19
