Hanley,Grant,Norwich City
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,75
NON_PEN_XG,0.06,68
TOTAL_SHOTS,0.63,75
ASSISTS,0.00,28
XA,0.01,53
NON_PEN_XG+XA,0.07,62
SHOT_CREATIONS,0.42,32
PASSES_ATTEMPTED,46.59,30
PASS_COMPLETION_PERCENTAGE,87.4,56
PROGRESSIVE_PASSES,1.27,5
PROGRESSIVE CARRIES,0.99,7
DRIBBLES_COMPLETED,0.28,68
TOUCHES_IN_AREA,1.06,76
PROGRESSIVE_PASSES_RECIEVED,0.07,25
PRESSURES,9.16,56
TACKLES,1.83,73
INTERCEPTIONS,2.04,72
BLOCKS,1.76,60
CLEARANCES,5.07,53
AERIAL_DUELS_WON,3.59,86
