Gilmour,Billy,Norwich City
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.56,24
ASSISTS,0.08,60
XA,0.09,67
NON_PEN_XG+XA,0.11,37
SHOT_CREATIONS,2.56,80
PASSES_ATTEMPTED,66.40,85
PASS_COMPLETION_PERCENTAGE,84.1,53
PROGRESSIVE_PASSES,4.72,71
PROGRESSIVE CARRIES,4.40,63
DRIBBLES_COMPLETED,0.48,23
TOUCHES_IN_AREA,0.40,8
PROGRESSIVE_PASSES_RECIEVED,1.36,37
PRESSURES,20.80,75
TACKLES,1.84,30
INTERCEPTIONS,1.84,69
BLOCKS,0.96,6
CLEARANCES,1.68,62
AERIAL_DUELS_WON,0.64,19
