Furlong,Darnell,West Brom
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.72,67
ASSISTS,0.05,29
XA,0.03,12
NON_PEN_XG+XA,0.09,33
SHOT_CREATIONS,0.86,5
PASSES_ATTEMPTED,32.95,1
PASS_COMPLETION_PERCENTAGE,57.1,1
PROGRESSIVE_PASSES,2.07,3
PROGRESSIVE CARRIES,1.73,1
DRIBBLES_COMPLETED,0.38,12
TOUCHES_IN_AREA,1.25,47
PROGRESSIVE_PASSES_RECIEVED,1.01,11
PRESSURES,9.08,10
TACKLES,1.78,35
INTERCEPTIONS,1.10,11
BLOCKS,2.26,79
CLEARANCES,4.27,99
AERIAL_DUELS_WON,3.84,99
