Chambers,Calum,Arsenal
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.06,76
TOTAL_SHOTS,0.97,83
ASSISTS,0.24,93
XA,0.10,64
NON_PEN_XG+XA,0.16,71
SHOT_CREATIONS,1.62,48
PASSES_ATTEMPTED,63.15,85
PASS_COMPLETION_PERCENTAGE,81.3,74
PROGRESSIVE_PASSES,3.32,41
PROGRESSIVE CARRIES,3.80,30
DRIBBLES_COMPLETED,0.32,8
TOUCHES_IN_AREA,2.18,80
PROGRESSIVE_PASSES_RECIEVED,1.94,44
PRESSURES,11.16,26
TACKLES,1.46,15
INTERCEPTIONS,1.62,53
BLOCKS,2.51,90
CLEARANCES,4.69,99
AERIAL_DUELS_WON,2.43,95
