Bellerín,Héctor,Arsenal
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,50
NON_PEN_XG,0.03,48
TOTAL_SHOTS,0.65,58
ASSISTS,0.10,62
XA,0.10,71
NON_PEN_XG+XA,0.14,63
SHOT_CREATIONS,1.93,66
PASSES_ATTEMPTED,54.71,61
PASS_COMPLETION_PERCENTAGE,80.2,68
PROGRESSIVE_PASSES,3.48,46
PROGRESSIVE CARRIES,4.34,44
DRIBBLES_COMPLETED,0.69,44
TOUCHES_IN_AREA,2.24,82
PROGRESSIVE_PASSES_RECIEVED,2.65,70
PRESSURES,10.43,18
TACKLES,1.55,19
INTERCEPTIONS,1.03,7
BLOCKS,1.41,15
CLEARANCES,2.41,51
AERIAL_DUELS_WON,1.62,77
