Pépé,Nicolas,Arsenal
RW,RAM,AM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.42,91
NON_PEN_XG,0.35,90
TOTAL_SHOTS,2.53,73
ASSISTS,0.13,28
XA,0.11,14
NON_PEN_XG+XA,0.46,68
SHOT_CREATIONS,2.83,31
PASSES_ATTEMPTED,40.87,59
PASS_COMPLETION_PERCENTAGE,77.7,59
PROGRESSIVE_PASSES,2.02,15
PROGRESSIVE CARRIES,6.16,54
DRIBBLES_COMPLETED,1.86,59
TOUCHES_IN_AREA,7.25,93
PROGRESSIVE_PASSES_RECIEVED,8.18,85
PRESSURES,13.16,22
TACKLES,1.43,57
INTERCEPTIONS,1.14,74
BLOCKS,1.56,80
CLEARANCES,0.72,74
AERIAL_DUELS_WON,1.86,93
