Aubameyang,Pierre-Emerick,Arsenal
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.41,61
NON_PEN_XG,0.49,83
TOTAL_SHOTS,2.79,71
ASSISTS,0.14,53
XA,0.09,26
NON_PEN_XG+XA,0.58,73
SHOT_CREATIONS,1.70,18
PASSES_ATTEMPTED,21.72,39
PASS_COMPLETION_PERCENTAGE,74.0,59
PROGRESSIVE_PASSES,1.40,44
PROGRESSIVE CARRIES,3.17,59
DRIBBLES_COMPLETED,0.34,5
TOUCHES_IN_AREA,5.24,57
PROGRESSIVE_PASSES_RECIEVED,6.30,25
PRESSURES,15.83,63
TACKLES,0.68,48
INTERCEPTIONS,0.24,19
BLOCKS,1.33,93
CLEARANCES,0.48,34
AERIAL_DUELS_WON,1.63,46
