Tierney,Kieran,Arsenal
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,77
NON_PEN_XG,0.02,29
TOTAL_SHOTS,0.71,65
ASSISTS,0.18,86
XA,0.16,88
NON_PEN_XG+XA,0.18,79
SHOT_CREATIONS,2.24,79
PASSES_ATTEMPTED,53.28,55
PASS_COMPLETION_PERCENTAGE,74.6,29
PROGRESSIVE_PASSES,3.38,43
PROGRESSIVE CARRIES,5.55,71
DRIBBLES_COMPLETED,0.92,60
TOUCHES_IN_AREA,2.42,86
PROGRESSIVE_PASSES_RECIEVED,3.63,90
PRESSURES,7.96,3
TACKLES,1.10,5
INTERCEPTIONS,1.35,29
BLOCKS,1.60,28
CLEARANCES,2.63,63
AERIAL_DUELS_WON,0.75,23
