Soares,Cédric,Arsenal
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.66,59
ASSISTS,0.16,84
XA,0.13,80
NON_PEN_XG+XA,0.15,66
SHOT_CREATIONS,1.48,41
PASSES_ATTEMPTED,53.56,57
PASS_COMPLETION_PERCENTAGE,77.0,46
PROGRESSIVE_PASSES,3.21,36
PROGRESSIVE CARRIES,4.28,43
DRIBBLES_COMPLETED,0.58,33
TOUCHES_IN_AREA,1.15,42
PROGRESSIVE_PASSES_RECIEVED,2.22,57
PRESSURES,12.42,47
TACKLES,1.56,20
INTERCEPTIONS,1.07,9
BLOCKS,1.97,60
CLEARANCES,2.96,78
AERIAL_DUELS_WON,1.15,47
