Xhaka,Granit,Arsenal
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,32
NON_PEN_XG,0.03,20
TOTAL_SHOTS,0.72,35
ASSISTS,0.06,48
XA,0.05,33
NON_PEN_XG+XA,0.08,20
SHOT_CREATIONS,1.63,41
PASSES_ATTEMPTED,74.42,93
PASS_COMPLETION_PERCENTAGE,89.2,90
PROGRESSIVE_PASSES,6.82,95
PROGRESSIVE CARRIES,5.98,87
DRIBBLES_COMPLETED,0.63,37
TOUCHES_IN_AREA,0.66,23
PROGRESSIVE_PASSES_RECIEVED,0.97,17
PRESSURES,13.10,9
TACKLES,2.11,44
INTERCEPTIONS,1.06,16
BLOCKS,1.00,7
CLEARANCES,1.69,64
AERIAL_DUELS_WON,1.87,77
