Maitland-Niles,Ainsley,Arsenal
DF,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,32
TOTAL_SHOTS,0.69,33
ASSISTS,0.00,11
XA,0.06,48
NON_PEN_XG+XA,0.11,34
SHOT_CREATIONS,1.86,53
PASSES_ATTEMPTED,35.98,12
PASS_COMPLETION_PERCENTAGE,78.3,17
PROGRESSIVE_PASSES,2.93,22
PROGRESSIVE CARRIES,3.25,35
DRIBBLES_COMPLETED,1.33,87
TOUCHES_IN_AREA,2.13,86
PROGRESSIVE_PASSES_RECIEVED,2.98,83
PRESSURES,22.57,86
TACKLES,1.86,31
INTERCEPTIONS,1.70,59
BLOCKS,1.44,41
CLEARANCES,1.76,69
AERIAL_DUELS_WON,0.75,27
