Leno,Bernd,Arsenal
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.05,73
GOALS_CONCEDED,1.16,71
SAVE_PERCENTAGE,66.7,41
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,33.3,83
CLEAN_SHEET_PERCENTAGE,30.3,64
TOUCHES,32.76,32
LAUNCH_PERCENTAGE,25.3,5
GOAL_KICKS,6.40,20
AVG_GOAL_KICK_DISTANCE,47.1,56
CROSSES_STOPPED_PERCENTAGE,9.4,82
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.43,22
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.7,28
