Dos Santos,Gabriel,Arsenal
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,85
NON_PEN_XG,0.04,44
TOTAL_SHOTS,0.79,86
ASSISTS,0.03,68
XA,0.01,51
NON_PEN_XG+XA,0.05,39
SHOT_CREATIONS,0.51,46
PASSES_ATTEMPTED,58.52,66
PASS_COMPLETION_PERCENTAGE,86.7,48
PROGRESSIVE_PASSES,1.98,23
PROGRESSIVE CARRIES,3.73,77
DRIBBLES_COMPLETED,0.21,49
TOUCHES_IN_AREA,0.99,71
PROGRESSIVE_PASSES_RECIEVED,0.21,66
PRESSURES,6.77,19
TACKLES,1.09,18
INTERCEPTIONS,1.23,10
BLOCKS,1.50,34
CLEARANCES,4.72,43
AERIAL_DUELS_WON,3.08,69
