Kolašinac,Sead,Arsenal
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,68
NON_PEN_XG,0.02,34
TOTAL_SHOTS,0.36,23
ASSISTS,0.06,41
XA,0.09,64
NON_PEN_XG+XA,0.12,51
SHOT_CREATIONS,1.19,20
PASSES_ATTEMPTED,44.61,16
PASS_COMPLETION_PERCENTAGE,79.4,64
PROGRESSIVE_PASSES,2.61,11
PROGRESSIVE CARRIES,3.44,23
DRIBBLES_COMPLETED,1.01,66
TOUCHES_IN_AREA,1.90,72
PROGRESSIVE_PASSES_RECIEVED,2.37,64
PRESSURES,11.63,34
TACKLES,1.48,16
INTERCEPTIONS,2.37,94
BLOCKS,1.25,6
CLEARANCES,1.72,21
AERIAL_DUELS_WON,0.95,34
