Martinelli,,Arsenal
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,70
NON_PEN_XG,0.40,91
TOTAL_SHOTS,2.67,79
ASSISTS,0.22,66
XA,0.23,78
NON_PEN_XG+XA,0.63,91
SHOT_CREATIONS,2.81,30
PASSES_ATTEMPTED,24.52,3
PASS_COMPLETION_PERCENTAGE,75.5,48
PROGRESSIVE_PASSES,1.19,1
PROGRESSIVE CARRIES,4.67,21
DRIBBLES_COMPLETED,1.85,59
TOUCHES_IN_AREA,5.85,82
PROGRESSIVE_PASSES_RECIEVED,6.22,48
PRESSURES,20.15,83
TACKLES,1.26,42
INTERCEPTIONS,1.19,79
BLOCKS,1.48,76
CLEARANCES,0.96,87
AERIAL_DUELS_WON,1.56,90
