Smith-Rowe,Emile,Arsenal
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,55
NON_PEN_XG,0.14,19
TOTAL_SHOTS,1.22,9
ASSISTS,0.20,55
XA,0.14,36
NON_PEN_XG+XA,0.28,22
SHOT_CREATIONS,2.59,22
PASSES_ATTEMPTED,39.81,57
PASS_COMPLETION_PERCENTAGE,87.0,99
PROGRESSIVE_PASSES,2.65,29
PROGRESSIVE CARRIES,5.55,39
DRIBBLES_COMPLETED,1.05,20
TOUCHES_IN_AREA,2.99,26
PROGRESSIVE_PASSES_RECIEVED,5.01,25
PRESSURES,13.54,27
TACKLES,0.88,16
INTERCEPTIONS,1.02,62
BLOCKS,0.97,28
CLEARANCES,0.71,72
AERIAL_DUELS_WON,0.40,23
