Lacazette,Alexandre,Arsenal
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,70
NON_PEN_XG,0.31,36
TOTAL_SHOTS,1.78,13
ASSISTS,0.13,49
XA,0.15,64
NON_PEN_XG+XA,0.46,46
SHOT_CREATIONS,2.86,74
PASSES_ATTEMPTED,25.98,64
PASS_COMPLETION_PERCENTAGE,76.1,72
PROGRESSIVE_PASSES,2.47,84
PROGRESSIVE CARRIES,2.08,32
DRIBBLES_COMPLETED,1.00,52
TOUCHES_IN_AREA,5.16,50
PROGRESSIVE_PASSES_RECIEVED,6.98,41
PRESSURES,15.66,60
TACKLES,1.13,83
INTERCEPTIONS,0.74,92
BLOCKS,0.78,56
CLEARANCES,0.43,31
AERIAL_DUELS_WON,1.47,38
