Mazzocchi,Pasquale,Venezia
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,25
TOTAL_SHOTS,0.46,36
ASSISTS,0.00,8
XA,0.08,54
NON_PEN_XG+XA,0.10,38
SHOT_CREATIONS,0.93,7
PASSES_ATTEMPTED,40.98,9
PASS_COMPLETION_PERCENTAGE,74.9,31
PROGRESSIVE_PASSES,2.40,7
PROGRESSIVE CARRIES,4.44,47
DRIBBLES_COMPLETED,1.39,83
TOUCHES_IN_AREA,0.19,1
PROGRESSIVE_PASSES_RECIEVED,1.30,22
PRESSURES,13.41,61
TACKLES,1.20,7
INTERCEPTIONS,3.24,99
BLOCKS,2.40,87
CLEARANCES,2.13,39
AERIAL_DUELS_WON,1.02,39
