Ceccaroni,Pietro,Venezia
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,93
NON_PEN_XG,0.06,70
TOTAL_SHOTS,0.45,43
ASSISTS,0.00,28
XA,0.01,25
NON_PEN_XG+XA,0.06,52
SHOT_CREATIONS,0.38,26
PASSES_ATTEMPTED,48.82,37
PASS_COMPLETION_PERCENTAGE,87.5,58
PROGRESSIVE_PASSES,2.23,33
PROGRESSIVE CARRIES,1.66,25
DRIBBLES_COMPLETED,0.38,81
TOUCHES_IN_AREA,0.76,47
PROGRESSIVE_PASSES_RECIEVED,0.06,21
PRESSURES,8.54,46
TACKLES,1.40,45
INTERCEPTIONS,2.17,78
BLOCKS,1.59,45
CLEARANCES,5.23,58
AERIAL_DUELS_WON,1.98,21
