Busio,Gianluca,Venezia
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,62
NON_PEN_XG,0.06,44
TOTAL_SHOTS,0.78,38
ASSISTS,0.07,55
XA,0.11,79
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,1.85,53
PASSES_ATTEMPTED,43.51,30
PASS_COMPLETION_PERCENTAGE,84.8,56
PROGRESSIVE_PASSES,2.49,12
PROGRESSIVE CARRIES,2.56,20
DRIBBLES_COMPLETED,0.21,1
TOUCHES_IN_AREA,1.07,50
PROGRESSIVE_PASSES_RECIEVED,1.42,40
PRESSURES,21.61,81
TACKLES,2.63,73
INTERCEPTIONS,1.71,59
BLOCKS,3.06,99
CLEARANCES,1.64,57
AERIAL_DUELS_WON,1.28,53
