Svoboda,Michael,Venezia
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,32
TOTAL_SHOTS,0.33,23
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.03,15
SHOT_CREATIONS,0.00,1
PASSES_ATTEMPTED,52.43,49
PASS_COMPLETION_PERCENTAGE,89.5,76
PROGRESSIVE_PASSES,3.51,77
PROGRESSIVE CARRIES,4.84,90
DRIBBLES_COMPLETED,0.17,37
TOUCHES_IN_AREA,0.83,55
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.52,72
TACKLES,1.84,74
INTERCEPTIONS,1.34,21
BLOCKS,2.00,81
CLEARANCES,3.34,7
AERIAL_DUELS_WON,2.84,62
