Molinaro,Cristian,Venezia
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.00,1
ASSISTS,0.19,88
XA,0.06,30
NON_PEN_XG+XA,0.06,11
SHOT_CREATIONS,1.51,44
PASSES_ATTEMPTED,49.43,35
PASS_COMPLETION_PERCENTAGE,76.3,37
PROGRESSIVE_PASSES,3.58,51
PROGRESSIVE CARRIES,4.53,49
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,0.19,1
PROGRESSIVE_PASSES_RECIEVED,0.75,4
PRESSURES,9.43,11
TACKLES,1.89,43
INTERCEPTIONS,0.94,4
BLOCKS,2.26,79
CLEARANCES,3.96,98
AERIAL_DUELS_WON,1.51,72
