Caldara,Mattia,Venezia
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,75
NON_PEN_XG,0.07,83
TOTAL_SHOTS,0.72,79
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.08,73
SHOT_CREATIONS,0.65,64
PASSES_ATTEMPTED,39.26,12
PASS_COMPLETION_PERCENTAGE,83.8,30
PROGRESSIVE_PASSES,1.44,9
PROGRESSIVE CARRIES,1.95,34
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.58,25
PROGRESSIVE_PASSES_RECIEVED,0.07,25
PRESSURES,10.54,72
TACKLES,1.80,72
INTERCEPTIONS,3.39,99
BLOCKS,2.60,98
CLEARANCES,4.76,46
AERIAL_DUELS_WON,2.45,46
