M‰enp‰‰,Niki,Venezia
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.16,21
GOALS_CONCEDED,1.64,27
SAVE_PERCENTAGE,61.1,7
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.37,96
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,0.0,1
TOUCHES,32.00,21
LAUNCH_PERCENTAGE,38.0,36
GOAL_KICKS,7.09,39
AVG_GOAL_KICK_DISTANCE,29.2,6
CROSSES_STOPPED_PERCENTAGE,7.5,53
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.18,1
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.1,5
