Samba Baldé,Mama,Troyes
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,18
NON_PEN_XG,0.25,22
TOTAL_SHOTS,1.81,15
ASSISTS,0.04,14
XA,0.05,9
NON_PEN_XG+XA,0.30,8
SHOT_CREATIONS,2.00,37
PASSES_ATTEMPTED,21.63,38
PASS_COMPLETION_PERCENTAGE,70.8,38
PROGRESSIVE_PASSES,1.44,48
PROGRESSIVE CARRIES,3.14,58
DRIBBLES_COMPLETED,1.48,78
TOUCHES_IN_AREA,4.51,27
PROGRESSIVE_PASSES_RECIEVED,7.84,57
PRESSURES,17.93,79
TACKLES,1.59,99
INTERCEPTIONS,0.81,96
BLOCKS,1.04,79
CLEARANCES,0.48,34
AERIAL_DUELS_WON,2.14,62
