Tardieu,Florian,Troyes
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,19
TOTAL_SHOTS,0.68,33
ASSISTS,0.10,67
XA,0.12,82
NON_PEN_XG+XA,0.14,50
SHOT_CREATIONS,2.83,86
PASSES_ATTEMPTED,68.23,88
PASS_COMPLETION_PERCENTAGE,83.8,51
PROGRESSIVE_PASSES,5.86,88
PROGRESSIVE CARRIES,2.34,17
DRIBBLES_COMPLETED,0.68,42
TOUCHES_IN_AREA,0.20,1
PROGRESSIVE_PASSES_RECIEVED,1.27,34
PRESSURES,16.20,30
TACKLES,1.95,36
INTERCEPTIONS,1.85,72
BLOCKS,1.66,59
CLEARANCES,1.46,48
AERIAL_DUELS_WON,1.27,53
