Kouamé,Rominigue,Troyes
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,53
NON_PEN_XG,0.08,69
TOTAL_SHOTS,1.07,63
ASSISTS,0.06,44
XA,0.06,45
NON_PEN_XG+XA,0.15,57
SHOT_CREATIONS,1.91,55
PASSES_ATTEMPTED,48.40,44
PASS_COMPLETION_PERCENTAGE,87.6,81
PROGRESSIVE_PASSES,4.05,55
PROGRESSIVE CARRIES,6.63,90
DRIBBLES_COMPLETED,1.24,82
TOUCHES_IN_AREA,0.96,42
PROGRESSIVE_PASSES_RECIEVED,1.12,25
PRESSURES,16.41,30
TACKLES,1.63,18
INTERCEPTIONS,2.02,79
BLOCKS,0.90,4
CLEARANCES,0.39,2
AERIAL_DUELS_WON,0.34,5
