Biancone,Giulian,Troyes
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.10,92
TOTAL_SHOTS,1.25,95
ASSISTS,0.16,82
XA,0.06,34
NON_PEN_XG+XA,0.16,70
SHOT_CREATIONS,1.72,55
PASSES_ATTEMPTED,49.18,33
PASS_COMPLETION_PERCENTAGE,70.6,10
PROGRESSIVE_PASSES,3.36,43
PROGRESSIVE CARRIES,3.28,18
DRIBBLES_COMPLETED,0.23,5
TOUCHES_IN_AREA,2.74,87
PROGRESSIVE_PASSES_RECIEVED,2.50,67
PRESSURES,15.17,78
TACKLES,2.58,78
INTERCEPTIONS,2.66,97
BLOCKS,2.35,85
CLEARANCES,2.66,65
AERIAL_DUELS_WON,2.97,98
