Rodrigues,Gerson,Troyes
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,18
NON_PEN_XG,0.15,24
TOTAL_SHOTS,1.71,33
ASSISTS,0.00,1
XA,0.04,1
NON_PEN_XG+XA,0.19,4
SHOT_CREATIONS,1.82,3
PASSES_ATTEMPTED,26.86,7
PASS_COMPLETION_PERCENTAGE,77.3,57
PROGRESSIVE_PASSES,1.93,10
PROGRESSIVE CARRIES,4.60,19
DRIBBLES_COMPLETED,1.82,58
TOUCHES_IN_AREA,2.14,9
PROGRESSIVE_PASSES_RECIEVED,6.31,50
PRESSURES,16.48,55
TACKLES,1.18,34
INTERCEPTIONS,0.86,48
BLOCKS,0.86,17
CLEARANCES,0.32,24
AERIAL_DUELS_WON,1.50,90
