Di Lorenzo,Giovanni,Napoli
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,79
NON_PEN_XG,0.08,83
TOTAL_SHOTS,0.66,60
ASSISTS,0.14,77
XA,0.10,66
NON_PEN_XG+XA,0.17,76
SHOT_CREATIONS,2.42,85
PASSES_ATTEMPTED,71.52,91
PASS_COMPLETION_PERCENTAGE,86.9,96
PROGRESSIVE_PASSES,6.00,95
PROGRESSIVE CARRIES,6.92,89
DRIBBLES_COMPLETED,0.64,40
TOUCHES_IN_AREA,2.10,78
PROGRESSIVE_PASSES_RECIEVED,2.20,56
PRESSURES,11.72,36
TACKLES,2.24,63
INTERCEPTIONS,1.04,7
BLOCKS,1.78,43
CLEARANCES,1.94,30
AERIAL_DUELS_WON,1.62,77
