Ruiz Peña,Fabián,Napoli
CM,DM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,95
NON_PEN_XG,0.10,78
TOTAL_SHOTS,1.55,86
ASSISTS,0.08,58
XA,0.10,70
NON_PEN_XG+XA,0.19,77
SHOT_CREATIONS,3.59,97
PASSES_ATTEMPTED,75.94,94
PASS_COMPLETION_PERCENTAGE,89.2,90
PROGRESSIVE_PASSES,5.79,87
PROGRESSIVE CARRIES,6.90,91
DRIBBLES_COMPLETED,0.62,34
TOUCHES_IN_AREA,1.65,76
PROGRESSIVE_PASSES_RECIEVED,3.36,87
PRESSURES,16.44,31
TACKLES,1.68,23
INTERCEPTIONS,1.65,54
BLOCKS,1.32,29
CLEARANCES,1.45,47
AERIAL_DUELS_WON,0.49,9
