Rrahmani,Amir,Napoli
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,85
NON_PEN_XG,0.06,74
TOTAL_SHOTS,0.45,45
ASSISTS,0.00,28
XA,0.00,12
NON_PEN_XG+XA,0.06,49
SHOT_CREATIONS,0.42,31
PASSES_ATTEMPTED,55.31,58
PASS_COMPLETION_PERCENTAGE,93.1,96
PROGRESSIVE_PASSES,1.75,14
PROGRESSIVE CARRIES,1.88,31
DRIBBLES_COMPLETED,0.13,26
TOUCHES_IN_AREA,0.61,27
PROGRESSIVE_PASSES_RECIEVED,0.06,22
PRESSURES,9.34,59
TACKLES,0.94,11
INTERCEPTIONS,0.91,2
BLOCKS,1.45,28
CLEARANCES,3.72,13
AERIAL_DUELS_WON,2.33,41
