Petagna,Andrea,Napoli
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,6
NON_PEN_XG,0.22,12
TOTAL_SHOTS,2.38,47
ASSISTS,0.45,99
XA,0.32,99
NON_PEN_XG+XA,0.54,63
SHOT_CREATIONS,3.57,92
PASSES_ATTEMPTED,24.62,57
PASS_COMPLETION_PERCENTAGE,80.1,88
PROGRESSIVE_PASSES,0.67,5
PROGRESSIVE CARRIES,2.60,46
DRIBBLES_COMPLETED,1.04,56
TOUCHES_IN_AREA,7.66,96
PROGRESSIVE_PASSES_RECIEVED,8.70,74
PRESSURES,9.60,8
TACKLES,0.60,42
INTERCEPTIONS,0.07,1
BLOCKS,0.60,29
CLEARANCES,0.52,38
AERIAL_DUELS_WON,2.23,63
