Malcuit,Kévin,Napoli
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,70
TOTAL_SHOTS,0.91,80
ASSISTS,0.18,87
XA,0.09,59
NON_PEN_XG+XA,0.16,71
SHOT_CREATIONS,1.45,40
PASSES_ATTEMPTED,45.81,21
PASS_COMPLETION_PERCENTAGE,74.7,29
PROGRESSIVE_PASSES,2.90,23
PROGRESSIVE CARRIES,6.52,85
DRIBBLES_COMPLETED,1.63,90
TOUCHES_IN_AREA,1.81,69
PROGRESSIVE_PASSES_RECIEVED,2.17,54
PRESSURES,15.39,80
TACKLES,1.63,23
INTERCEPTIONS,1.09,9
BLOCKS,1.81,46
CLEARANCES,1.99,33
AERIAL_DUELS_WON,1.09,43
